wikidata|samian
Q103160643|1000475
Q103197447|1000476
Q103159350|1000477
Q103148908|1000478
Q103195093|1000479
Q103199475|1000480
Q103163128|1000481
Q103194830|1000482
Q103163101|1000484
Q103191527|1000485
Q103148168|1000486
Q103162229|1000487
Q103198081|1000488
Q103193946|1000489
Q103161150|1000490
Q103180972|1000492
Q103164463|1000493
Q103159754|1000494
Q103200237|1000495
Q103159243|1000496
Q103197761|1000497
Q103198468|1000498
Q103199237|1000499
Q103138232|1000500
Q103182587|1000501
Q103197267|1000502
Q103198549|1000503
Q103182493|1000504
Q103141615|1000505
Q103194235|1000506
Q103143530|1000507
Q103195171|1000508
Q103196098|1000509
Q103164280|1000510
Q103180693|1000511
Q103148719|1000512
Q103145956|1000513
Q103158961|1000514
Q103190008|1000515
Q103148707|1000516
Q103160803|1000517
Q103199702|1000518
Q103182289|1000519
Q103193214|1000522
Q103177408|1000523
Q103197300|1000524
Q103198498|1000525
Q103146479|1000526
Q103168904|1000527
Q103193641|1000528
Q103183627|1000529
Q103139620|1000530
Q103190294|1000531
Q103171484|1000532
Q103197150|1000533
Q103188725|1000534
Q103192140|1000535
Q103196545|1000536
Q103184780|1000537
Q103162859|1000538
Q103191074|1000539
Q103164642|1000540
Q103193409|1000541
Q103163439|1000543
Q103183880|1000544
Q103160839|1000545
Q103143567|1000546
Q103160106|1000547
Q103161066|1000548
Q103193868|1000549
Q103140001|1000550
Q103198091|1000553
Q103197291|1000554
Q103160544|1000555
Q103181951|1000556
Q103160858|1000557
Q103158309|1000558
Q103170546|1000559
Q103162797|1000560
Q103145980|1000561
Q103188807|1000562
Q103188025|1000563
Q103161942|1000565
Q103164474|1000566
Q103200433|1000567
Q103199495|1000568
Q103159284|1000569
Q103186683|1000570
Q103181586|1000571
Q103191584|1000572
Q103143470|1000573
Q103157657|1000574
Q103160526|1000575
Q103186009|1000576
Q103190365|1000577
Q103162751|1000578
Q103192470|1000579
Q103162649|1000580
Q103199852|1000581
Q103198126|1000582
Q103142107|1000583
Q103164044|1000584
Q103145474|1000585
Q103163675|1000586
Q103163717|1000587
Q103148158|1000588
Q103141539|1000589
Q103180461|1000590
Q103199255|1000591
Q103161350|1000592
Q103158720|1000593
Q103162539|1000594
Q103158205|1000595
Q103138192|1000596
Q103161850|1000597
Q103188483|1000598
Q103161439|1000599
Q103140816|1000600
Q103162009|1000601
Q103187427|1000602
Q103198362|1000603
Q103161613|1000604
Q103185764|1000605
Q103143862|1000606
Q103199319|1000607
Q103161800|1000608
Q103193475|1000609
Q103146701|1000610
Q103194439|1000612
Q103162683|1000613
Q103199070|1000614
Q103163918|1000615
Q103161571|1000617
Q103200108|1000618
Q103185400|1000619
Q103155560|1000620
Q103199479|1000621
Q103176928|1000622
Q103163097|1000623
Q103146863|1000624
Q103180999|1000625
Q103195584|1000626
Q103200363|1000627
Q103189104|1000628
Q103193817|1000629
Q103159978|1000630
Q103159693|1000631
Q103188910|1000632
Q103198564|1000633
Q103186553|1000634
Q103159658|1000636
Q103188428|1000637
Q103184529|1000638
Q103194920|1000639
Q103145216|1000640
Q103197889|1000641
Q103199821|1000642
Q103149015|1000643
Q103141648|1000645
Q103198649|1000646
Q103180234|1000647
Q103187585|1000648
Q103198688|1000650
Q103194843|1000651
Q103179484|1000652
Q103158750|1000653
Q103148113|1000654
Q103146660|1000655
Q103171959|1000657
Q103150198|1000658
Q103193722|1000659
Q103163894|1000662
Q103148574|1000663
Q103160271|1000664
Q103191821|1000665
Q103171688|1000666
Q103198139|1000667
Q103199869|1000668
Q103161268|1000669
Q103155886|1000670
Q103194897|1000671
Q103196493|1000672
Q103161465|1000673
Q103183860|1000674
Q103158777|1000675
Q103193555|1000676
Q103189610|1000677
Q103179558|1000678
Q103188279|1000679
Q103162919|1000680
Q103157860|1000681
Q103187507|1000682
Q103159248|1000683
Q103197465|1000684
Q103177315|1000685
Q103161380|1000687
Q103198162|1000688
Q103160125|1000689
Q103163520|1000690
Q103159307|1000691
Q103199209|1000692
Q103149487|1000693
Q103184692|1000694
Q103161521|1000695
Q103158094|1000696
Q103182775|1000698
Q103191829|1000699
Q103148548|1000700
Q103199759|1000701
Q103172191|1000702
Q103166421|1000703
Q103146853|1000704
Q103183692|1000705
Q103161192|1000706
Q103198744|1000707
Q103193859|1000708
Q103199813|1000709
Q103198430|1000710
Q103163380|1000712
Q103164245|1000713
Q103162578|1000714
Q103187651|1000715
Q103141741|1000716
Q103157802|1000718
Q103155959|1000720
Q103161634|1000721
Q103164185|1000722
Q103161937|1000723
Q103181567|1000724
Q103198656|1000725
Q103145332|1000726
Q103159573|1000727
Q103188948|1000728
Q103159900|1000729
Q103166243|1000730
Q103189807|1000731
Q103171976|1000732
Q103179422|1000733
Q103193986|1000734
Q103200240|1000735
Q103159205|1000736
Q103192439|1000737
Q103178818|1000738
Q103159928|1000739
Q103197524|1000740
Q103187075|1000741
Q103188229|1000742
Q103145863|1000743
Q103155213|1000744
Q103141847|1000745
Q103199344|1000746
Q103200444|1000747
Q103178738|1000748
Q103157836|1000749
Q103161013|1000750
Q103184217|1000751
Q103184957|1000752
Q103199565|1000753
Q103168257|1000754
Q103162083|1000755
Q103158942|1000756
Q103164488|1000757
Q103164692|1000760
Q103191067|1000761
Q103173230|1000762
Q103140782|1000763
Q103195433|1000764
Q103173156|1000766
Q103141869|1000767
Q103195797|1000768
Q103163795|1000769
Q103158037|1000770
Q103138207|1000771
Q103139968|1000773
Q103184748|1000774
Q103194296|1000775
Q103162113|1000776
Q103163684|1000777
Q103162470|1000778
Q103161702|1000779
Q103161734|1000781
Q103199160|1000782
Q103164353|1000783
Q103193882|1000784
Q103192861|1000785
Q103200129|1000786
Q103161336|1000787
Q103193266|1000788
Q103192739|1000789
Q103182400|1000790
Q103176675|1000791
Q103173841|1000792
Q103162740|1000793
Q103191733|1000794
Q103142030|1000795
Q103172851|1000796
Q103196011|1000797
Q103145674|1000798
Q103196347|1000799
Q103159404|1000800
Q103161672|1000801
Q103200216|1000802
Q103155941|1000803
Q103198135|1000804
Q103185536|1000805
Q103184007|1000806
Q103161603|1000807
Q103162217|1000808
Q103193673|1000809
Q103176807|1000810
Q103159971|1000811
Q103194194|1000812
Q103143837|1000813
Q103162211|1000814
Q103138671|1000815
Q103165197|1000816
Q103162203|1000817
Q103160320|1000818
Q103164678|1000819
Q103188254|1000820
Q103197012|1000821
Q103162911|1000822
Q103170450|1000823
Q103170469|1000825
Q103199336|1000826
Q103199023|1000827
Q103199709|1000828
Q103194249|1000829
Q103188707|1000831
Q103146364|1000832
Q103158863|1000833
Q103176288|1000835
Q103161180|1000836
Q103161159|1000837
Q103161103|1000838
Q103192286|1000839
Q103149503|1000840
Q103148079|1000841
Q103186693|1000842
Q103194995|1000843
Q103182896|1000844
Q103140225|1000845
Q103197111|1000846
Q103157910|1000847
Q103172498|1000849
Q103199102|1000850
Q103186651|1000851
Q103171712|1000852
Q103200292|1000853
Q103163505|1000854
Q103186275|1000855
Q103160992|1000856
Q103155644|1000858
Q103148897|1000859
Q103174230|1000860
Q103157921|1000861
Q103163246|1000862
Q103159292|1000863
Q103189968|1000864
Q103161165|1000865
Q103179331|1000866
Q103197720|1000867
Q103165184|1000868
Q103171789|1000869
Q103188215|1000870
Q103171381|1000872
Q103179278|1000873
Q103164196|1000874
Q103145743|1000875
Q103194689|1000877
Q103199618|1000878
Q103158928|1000879
Q103184511|1000880
Q103199287|1000881
Q103193689|1000882
Q103200236|1000883
Q103188359|1000884
Q103162029|1000885
Q103188507|1000886
Q103187604|1000887
Q103168232|1000888
Q103159810|1000889
Q103191300|1000890
Q103190542|1000891
Q103176977|1000892
Q103188496|1000893
Q103162866|1000894
Q103191949|1000896
Q103187171|1000897
Q103196640|1000898
Q103196501|1000899
Q103200251|1000900
Q103164086|1000901
Q103187272|1000902
Q103185945|1000903
Q103192431|1000904
Q103143955|1000905
Q103164378|1000906
Q103145440|1000907
Q103162954|1000908
Q103177137|1000910
Q103163875|1000913
Q103190551|1000914
Q103164685|1000915
Q103162518|1000916
Q103200316|1000917
Q103160717|1000919
Q103193246|1000920
Q103184580|1000921
Q103163465|1000922
Q103185973|1000923
Q103176611|1000924
Q103193164|1000925
Q103191508|1000926
Q103187333|1000927
Q103196803|1000928
Q103159187|1000929
Q103172132|1000930
Q103150174|1000931
Q103143723|1000932
Q103160238|1000933
Q103197715|1000934
Q103193141|1000935
Q103196166|1000936
Q103183420|1000937
Q103159701|1000938
Q103197882|1000939
Q103162729|1000943
Q103187455|1000944
Q103154493|1000945
Q103199113|1000946
Q103163118|1000947
Q103163551|1000948
Q103172292|1000949
Q103159991|1000950
Q103170472|1000951
Q103183534|1000952
Q103180202|1000953
Q103188143|1000954
Q103166103|1000955
Q103196367|1000956
Q103138445|1000957
Q103142623|1000958
Q103176036|1000959
Q103144020|1000961
Q103199352|1000962
Q103145700|1000963
Q103180639|1000964
Q103190310|1000965
Q103200241|1000966
Q103196275|1000967
Q103182853|1000968
Q103159582|1000969
Q103199191|1000970
Q103163534|1000971
Q103159589|1000972
Q103160488|1000973
Q103143847|1000975
Q103146416|1000976
Q103160035|1000977
Q103172694|1000978
Q103186777|1000979
Q103162376|1000980
Q103163335|1000981
Q103168238|1000982
Q103143422|1000983
Q103190762|1000985
Q103178781|1000986
Q103154356|1000987
Q103193834|1000988
Q103164528|1000989
Q103193496|1000990
Q103195203|1000991
Q103159171|1000992
Q103139487|1000993
Q103160630|1000994
Q103161247|1000996
Q103195759|1000997
Q103184322|1000999
Q103187391|1001000
Q103171851|1001001
Q103189534|1001002
Q103198446|1001003
Q103199097|1001004
Q103172475|1001005
Q103163303|1001006
Q103171839|1001007
Q103200473|1001008
Q103185570|1001009
Q103159132|1001010
Q103164272|1001011
Q103196582|1001012
Q103199750|1001013
Q103150566|1001014
Q103191324|1001015
Q103189078|1001016
Q103198490|1001017
Q103187241|1001018
Q103200451|1001020
Q103157723|1001021
Q103164275|1001022
Q103193198|1001023
Q103196480|1001024
Q103187987|1001025
Q103181364|1001026
Q103200164|1001027
Q103162510|1001028
Q103155411|1001029
Q103162482|1001030
Q103188770|1001031
Q103146048|1001032
Q103166403|1001033
Q103196685|1001034
Q103158418|1001035
Q103191876|1001036
Q103174150|1001037
Q103189760|1001039
Q103195326|1001040
Q103143549|1001041
Q103145899|1001042
Q103145987|1001043
Q103188599|1001044
Q103188413|1001045
Q103191543|1001046
Q103168913|1001048
Q103161631|1001049
Q103162584|1001050
Q103189277|1001051
Q103191147|1001052
Q103182114|1001053
Q103188063|1001054
Q103163614|1001055
Q103187101|1001056
Q103197979|1001057
Q103161123|1001058
Q103196940|1001059
Q103194784|1001061
Q103174063|1001062
Q103145632|1001063
Q103179783|1001064
Q103189975|1001065
Q103150555|1001066
Q103162703|1001067
Q103162306|1001068
Q103158975|1001069
Q103138756|1001070
Q103160939|1001071
Q103193047|1001072
Q103186716|1001073
Q103166439|1001074
Q103184854|1001075
Q103162685|1001076
Q103198505|1001079
Q103195634|1001080
Q103138744|1001081
Q103164050|1001082
Q103187155|1001083
Q103161666|1001084
Q103194453|1001085
Q103142413|1001086
Q103164108|1001087
Q103200193|1001089
Q103199507|1001090
Q103181596|1001091
Q103158938|1001092
Q103200227|1001094
Q103158731|1001095
Q103170595|1001096
Q103199780|1001097
Q103195119|1001098
Q103161547|1001099
Q103161846|1001100
Q103175245|1001101
Q103158024|1001102
Q103145464|1001103
Q103159951|1001104
Q103181867|1001105
Q103141374|1001106
Q103181719|1001108
Q103190195|1001110
Q103146208|1001111
Q103198856|1001112
Q103163837|1001113
Q103166267|1001114
Q103160045|1001115
Q103164324|1001116
Q103160800|1001117
Q103179861|1001118
Q103200095|1001120
Q103138424|1001121
Q103148104|1001122
Q103146057|1001123
Q103192493|1001124
Q103200367|1001125
Q103199600|1001126
Q103195894|1001127
Q103199942|1001128
Q103167141|1001129
Q103193365|1001130
Q103172167|1001131
Q103194986|1001132
Q103162146|1001133
Q103164744|1001134
Q103158274|1001135
Q103160378|1001136
Q103158839|1001137
Q103181577|1001139
Q103149004|1001140
Q103160620|1001141
Q103188615|1001142
Q103177530|1001143
Q103191124|1001144
Q103161856|1001145
Q103199904|1001146
Q103184476|1001147
Q103181419|1001149
Q103181937|1001150
Q103190057|1001153
Q103171335|1001154
Q103189923|1001156
Q103164259|1001158
Q103140726|1001159
Q103195960|1001160
Q103196444|1001161
Q103155988|1001162
Q103177217|1001163
Q103190891|1001164
Q103171882|1001165
Q103148749|1001166
Q103198711|1001167
Q103160538|1001168
Q103164519|1001171
Q103145309|1001173
Q103163510|1001174
Q103161511|1001175
Q103196339|1001176
Q103143598|1001177
Q103199597|1001178
Q103161894|1001179
Q103197941|1001180
Q103188683|1001181
Q103177849|1001182
Q103160757|1001183
Q103187843|1001184
Q103191419|1001185
Q103194735|1001186
Q103199522|1001187
Q103187435|1001189
Q103190620|1001190
Q103196400|1001191
Q103161723|1001192
Q103157967|1001193
Q103162897|1001194
Q103189580|1001195
Q103145708|1001196
Q103162611|1001197
Q103200173|1001198
Q103199570|1001199
Q103155668|1001200
Q103141762|1001201
Q103141634|1001202
Q103175388|1001203
Q103196865|1001204
Q103166097|1001205
Q103192590|1001206
Q103191690|1001207
Q103162273|1001208
Q103146020|1001209
Q103162677|1001211
Q103171909|1001212
Q103160069|1001213
Q103162162|1001214
Q103190247|1001215
Q103198778|1001216
Q103146570|1001217
Q103194934|1001218
Q103148809|1001219
Q103188436|1001220
Q103162419|1001221
Q103189672|1001222
Q103164625|1001223
Q103187972|1001224
Q103196190|1001225
Q103189961|1001226
Q103191926|1001227
Q103157777|1001228
Q103139794|1001229
Q103161663|1001231
Q103193795|1001233
Q103187461|1001234
Q103143311|1001235
Q103162987|1001237
Q103199216|1001238
Q103146271|1001239
Q103172826|1001240
Q103187527|1001241
Q103164139|1001242
Q103198769|1001243
Q103145891|1001244
Q103198828|1001245
Q103138771|1001249
Q103159857|1001250
Q103162746|1001251
Q103189688|1001252
Q103159610|1001253
Q103164630|1001254
Q103198066|1001255
Q103188540|1001256
Q103176862|1001257
Q103160761|1001258
Q103162972|1001259
Q103195705|1001260
Q103162547|1001261
Q103146542|1001262
Q103158870|1001263
Q103162885|1001264
Q103192378|1001265
Q103159876|1001266
Q103163274|1001267
Q103163628|1001268
Q103146680|1001269
Q103189605|1001270
Q103162813|1001271
Q103143744|1001272
Q103186736|1001273
Q103161112|1001274
Q103160872|1001275
Q103141947|1001276
Q103145876|1001277
Q103193437|1001278
Q103186770|1001279
Q103140613|1001280
Q103143711|1001281
Q103189159|1001282
Q103161809|1001283
Q103140877|1001285
Q103163376|1001286
Q103194912|1001287
Q103166140|1001288
Q103184608|1001289
Q103191289|1001290
Q103157766|1001291
Q103160161|1001293
Q103162598|1001294
Q103159941|1001295
Q103189149|1001296
Q103196916|1001297
Q103164651|1001298
